id	year	month	text
10154	2003	4	ll go yan jiu den msg u...
10155	2003	4	K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...
10156	2003	4	ll go yan jiu too... We can skip ard oso, go cine den go mrt one, blah blah blah...
10157	2003	4	Nope... Juz off from work...
10158	2003	4	Oh oh... Wasted... Den muz chiong on sat n sun liao...
10159	2003	4	Haha... Sounds crazy, dunno can tahan anot...
10160	2003	4	Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao...
10161	2003	4	Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...
10162	2003	4	After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...
10163	2003	4	Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee..
10164	2003	4	s ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards...
10165	2003	4	Oh oh... Den muz change plan liao... Go back have to yan jiu again...
10166	2003	4	s nt much lesson to go if we attend kb on sat...
10167	2003	4	Den wat will e schedule b lk on sun?
10168	2003	4	Eh den sat u book e kb liao huh...
10169	2003	4	Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke
10170	2003	4	Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am
10171	2003	4	Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
10172	2003	4	Hey... are you going to quit soon? Xuhui and i working till end of the month
10173	2003	4	s a kb lesson tonight
10174	2003	4	Hey so whats the plan this sat?
10175	2003	4	ve woken up...
10176	2003	4	Hey i will be late ah... Meet you at 945+
10177	2003	4	Hey tmr meet at bugis 930 ?
10178	2003	4	Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel
10179	2003	4	Haha... Yup hopefully  we will lose a few kg by mon. after hip hop can go orchard and weigh again
10180	2003	4	ve booked the 2 lessons on sun liao...
10181	2003	4	Hmmm... Guess we can go 4 kb n power yoga... Haha, dunno we can tahan power yoga anot... Thk got lo oso, forgot liao...
10182	2003	4	Oh... Okie lor...We go on sat...
10183	2003	4	Oh... Haha... Den we shld had went today too... Gee, nvm la... Kaiez, i dun mind goin jazz oso... Scared hiphop open cant catch up...
10184	2003	4	ll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den...
10185	2003	4	m still sleepin, haha... Okie, u go home liao den confirm w me lor...
10186	2003	4	m nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...
10187	2003	4	m eatin too much n puttin on weight...Haha... So anythin special happened?
10188	2003	4	Thk some of em find wtc too far... Weiyi not goin... E rest i dunno yet... R ur goin 4 dinner den i might b able to join...
10189	2003	4	m eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...
10190	2003	4	Goin to workout lor... Muz lose e fats...
10191	2003	4	ve oredi booked slots 4 my weekends liao...
10192	2003	4	I noe la... U wana pei bf oso rite... K lor, other days den...
10193	2003	4	U meet other fren dun wan meet me ah... Muz b a guy rite...
10194	2003	4	Oh... Icic... K lor, den meet other day...
10195	2003	4	Haha... Where got so fast lose weight, thk muz go 4 a month den got effect... Gee,later we go aust put bk e weight.
10196	2003	4	U attend ur driving lesson how many times a wk n which day?
10197	2003	4	Ay wana meet on sat?ü wkg on sat?
10198	2003	4	Shopping? Eh ger i toking abt syd leh...Haha
10199	2003	4	s é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900)
10200	2003	4	Hmm...Bad news...Hype park plaza $700 studio taken...Only left 2 bedrm-$900...
10201	2003	4	Okay... I booked all already... Including the one at bugis.
10202	2003	4	Yun ah.now ü wkg where?btw if ü go nus sc. Ü wana specialise in wad?
10203	2003	4	Hey you still want to go for yogasana? Coz if we end at cine then can go bathe and hav the steam bath
10204	2003	4	Hey we can go jazz power yoga hip hop kb and yogasana
10205	2003	4	Can meh? Thgt some will clash... Really ah, i dun mind... I dun seen to have lost any weight... Gee...
10206	2003	4	Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...
10207	2003	4	Wa... U so efficient... Gee... Thanx...
10208	2003	4	Hmmm.... Mayb can try e shoppin area one, but forgot e name of hotel...
10209	2003	4	s e best choice den we juz have to take it...
10210	2003	4	I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?
10211	2003	4	Until 545 lor... Ya, can go 4 dinner together...
10212	2003	4	Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...
10213	2003	4	Chinatown got porridge, claypot rice, yam cake, fishhead beehoon... Either we eat cheap den go cafe n tok or go nydc or somethin...
10214	2003	4	s shop ?
10215	2003	4	My fri ah... Okie lor,goin 4 my drivin den go shoppin after tt...
10216	2003	4	Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May
10217	2003	4	haha but no money leh... Later got to go for tuition... Haha and looking for empty slots for driving lessons
10218	2003	4	My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?
10219	2003	4	Hey... What time is your driving on fri? We go for evaluation on fri?
10220	2003	4	m going to be late leh.
10221	2003	4	Hey are we going for the lo lesson or gym?
10222	2003	4	Okay... We wait ah
10223	2003	4	Hey come online! Use msn... We are all there
10224	2003	4	Oh yah... We never cancel leh... Haha
10225	2003	4	K. Did you call me just now ah?
10226	2003	4	Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?
10227	2003	4	Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?
10228	2003	4	You want to go?
10229	2003	4	Kay... Since we are out already
10230	2003	4	Haha okay... Today weekend leh...
10231	2003	4	Haha... They cant what... At the most tmr forfeit... haha so how?
10232	2003	4	Hey... Why dont we just go watch x men and have lunch... Haha
10233	2003	4	Haha... Really oh no... How? Then will they deduct your lesson tmr?
10234	2003	4	m only reaching tp mrt
10235	2003	4	m goin to be late
10236	2003	4	Ya! when are ü taking ure practical lessons? I start in june..
10237	2003	4	Hey... Very inconvenient for your sis a not huh?
10238	2003	4	m at amk. Need to drink tea or coffee
10239	2003	4	Hey you gave them your photo when you registered for driving ah? Tmr wanna meet at yck?
10240	2003	4	s on 21 may. Coz thought wanna go out with jiayin. But she isnt free
10241	2003	4	Haha... dont be angry with yourself... Take it as a practice for the real thing. =)
10242	2003	4	Haha... Hope ü can hear the receipt sound... Gd luck!
10243	2003	4	Huh? 6 also cannot? Then only how many mistakes?
10244	2003	4	Nope... Think i will go for it on monday... Sorry i replied so late
10245	2003	4	Hey.. Something came up last min.. Think i wun be signing up tmr.. Hee
10246	2003	4	I am thinking of going down to reg for pract lessons.. Flung my advance.. Haha wat time u going?
10247	2003	4	Hey gals.. Anyone of u going down to e driving centre tmr?
10248	2003	4	Ok no prob
10249	2003	4	Nope i waiting in sch 4 daddy...
10250	2003	4	Dunno lei he neva say...
10251	2003	4	Ü called dad oredi...
10252	2003	4	Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit...
10253	2003	4	Dad went out oredi...
10254	2003	4	Ü still attending da talks?
10255	2003	4	Then she buying today? Ü no need to c meh...
10256	2003	4	m free...
10257	2003	4	Nope... C ü then...
10258	2003	4	Is fujitsu s series lifebook good?
10259	2003	4	Is toshiba portege m100 gd?
10260	2003	4	Yun buying... But school got offer	2000 plus only...
10261	2003	4	Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say...
10262	2003	4	Okie... Thanx...
10263	2003	4	How come i din c ü... Yup i cut my hair...
10264	2003	4	No wonder... Cos i dun rem seeing a silver car... But i thk i saw a black one...
10265	2003	4	s naughty... Ü so free today? Can go jogging...
10266	2003	4	Ok... C ya...
10267	2003	4	m not drivin... I neva develop da photos lei...
10268	2003	4	I wan but too early lei... Me outside now wun b home so early... Neva mind then...
10269	2003	4	645
10270	2003	4	Ü dun need to pick ur gf?
10271	2003	4	Okie...
10272	2003	4	m at home n ready...
10273	2003	4	Ok...
10274	2003	4	Dunno lei... I thk mum lazy to go out... I neva ask her yet...
10275	2003	4	Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
10276	2003	4	Dun need to use dial up juz open da browser n surf...
10277	2003	4	When did i use soc... I use it only at home... Ü dunno how 2 type it in word ar...
10278	2003	4	Can a not?
10279	2003	4	Juz go google n search 4 qet...
10280	2003	4	s hostel?
10281	2003	4	Ok...
10282	2003	4	Huh means computational science... Y they like dat one push here n there...
10283	2003	4	I not at home now lei...
10284	2003	4	Eatin my lunch...
10285	2003	4	Ü takin linear algebra today?
10286	2003	4	Ü bot notes oredi... Cos i juz rem i got...
10287	2003	4	Wah lucky man... Then can save money... Hee...
10288	2003	4	Y so late but i need to go n get da laptop...
10289	2003	4	Where to get those?
10290	2003	4	Then cant get da laptop? My matric card wif ü lei...
10291	2003	4	I dunno they close oredi not... Ü v ma fan...
10292	2003	4	Hi dis is yijue i would be happy to work wif ü all for gek1510...
10293	2003	4	Ü comin to fetch us oredi...
10294	2003	4	Got smaller capacity one? Quite ex...
10295	2003	4	Ok thanx...
10296	2003	4	Wat ü doing now?
10297	2003	4	Got meh... When?
10298	2003	4	m not at home in da aft wat...
10299	2003	4	Mum ask ü to buy food home...
10300	2003	4	Leave it wif me lar... Ü wan to carry meh so heavy... Is da num 98321561 familiar to ü?
10301	2003	4	s my group mate... Lucky i havent reply... Wat time do ü need to leave...
10302	2003	4	m askin if ü leaving earlier or wat mah cos mayb ü haf to walk v far...
10303	2003	4	Yup...
10304	2003	4	m stuck in da middle of da row on da right hand side of da lt...
10305	2003	4	Black shirt n blue jeans... I thk i c ü...
10306	2003	4	Not directly behind... Abt 4 rows behind ü...
10307	2003	4	Ü go home liao? Ask dad to pick me up at 6...
10308	2003	4	m done oredi...
10309	2003	4	I wait 4 ü inside da car park...
10310	2003	4	Yup... How ü noe leh...
10311	2003	4	Oic... I saw him too but i tot he din c me... I found a group liao...
10312	2003	4	Aiyo a bit pai seh ü noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
10313	2003	4	How i noe... Did ü specify da domain as nusstu... Ü still in sch...
10314	2003	4	When ü login dat time... Dad fetching ü home now?
10315	2003	4	I come n pick ü up... Come out immediately aft ur lesson...
10316	2003	4	Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...
10317	2003	4	Ü ready then call me...
10318	2003	4	Ü still got lessons?  Ü in sch?
10319	2003	4	Shall i get my pouch?
10320	2003	4	m on da bus going home...
10321	2003	4	m walking home oredi... Ü so late then reply... I oso saw a top dat i like but din buy... Where r ü now?
10322	2003	4	ll take forever to come back...
10323	2003	4	R ü comin back for dinner?
10324	2003	4	Eat at old airport road... But now 630 oredi... Got a lot of pple...
10325	2003	4	Y bishan lei... I tot ü say lavender?
10326	2003	4	Free any day but i finish at 6 on mon n thurs...
10327	2003	4	I prefer my free days... Tues, wed, fri oso can... Ü ask those workin lor...
10328	2003	4	But we havent got da topic yet rite?
10329	2003	4	So can collect ur laptop?
10330	2003	4	Ok good then i later come find ü... C lucky i told ü to go earlier... Later pple take finish ü no more again...
10331	2003	4	Eat jap done oso aft ur lect wat... Ü got lect at 12 rite...
10332	2003	4	So ü pay first lar... Then when is da stock comin...
10333	2003	4	s ur pin?
10334	2003	4	Ü collecting ur laptop then going to configure da settings izzit?
10335	2003	4	Cos daddy arranging time c wat time fetch ü mah...
10336	2003	4	Juz now havent woke up so a bit blur blur... Can? Dad went out liao... I cant cum now oso...
10337	2003	4	So li hai... Me bored now da lecturer repeating last weeks stuff waste time...
10338	2003	4	m wearing shorts...
10339	2003	4	Huh y lei...
10340	2003	4	m eatin wif my frens now lei... Ü going home first?
10341	2003	4	Havent still waitin as usual... Ü come back sch oredi?
10342	2003	4	No break time one... How... I come out n get my stuff fr ü?
10343	2003	4	Tmr then ü brin lar... Aiya later i come n c lar... Mayb ü neva set properly ü got da help sheet wif ü...
10344	2003	4	I dunno lei... Like dun haf...
10345	2003	4	s present ar.
10346	2003	4	Havent shopping now lor i juz arrive only
10347	2003	4	Beauty sleep can help ur pimples too.
10348	2003	4	Up to ü... Ü wan come then come lor... But i din c any stripes skirt...
10349	2003	4	s repent how?
10350	2003	4	Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
10351	2003	4	Ok i found dis pierre cardin one which looks normal costs	20 its on sale.
10352	2003	4	Y ü wan to go there? C doctor?
10353	2003	4	m wif him now buying tix lar...
10354	2003	4	How much r ü willing to pay?
10355	2003	4	m selling it for $50...
10356	2003	4	s at home...
10357	2003	4	Ok... Thanx... Gd nite 2 ü too...
10358	2003	4	Wat uniform? In where get?
10359	2003	4	ve finished c ü there...
10360	2003	4	Never y lei... I v lazy... Got wat? Dat day ü send me da url cant work one...
10361	2003	4	re done...
10362	2003	4	Anything lar...
10363	2003	4	Go where n buy? Juz buy when we get there lar.
10364	2003	4	Bishan lar nearer... No need buy so early cos if buy now i gotta park my car...
10365	2003	4	Do u noe how 2 send files between 2 computers?
10366	2003	4	I gotta collect da car at 6 lei.
10367	2003	4	2 laptop... I noe infra but too slow lar... I wan fast one
10368	2003	4	Dunno da next show aft 6 is 850. Toa payoh got 650.
10369	2003	4	Tmr timin still da same wat cos i got lesson until 6...
10370	2003	4	Wat time ü wan today?
10371	2003	4	Aiya we discuss later lar... Pick ü up at 4 is it?
10372	2003	4	m in a movie... Collect car oredi...
10373	2003	4	I anything lor...
10374	2003	4	Nothin comes to my mind. Ü help me buy hanger lor. Ur laptop not heavy?
10375	2003	4	Ok lor wat time ü finish?
10376	2003	4	Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...
10377	2003	4	Ü v ma fan...
10378	2003	4	Ü come lt 25 n pass to me lar
10379	2003	4	Y lei?
10380	2003	4	I wanted to ask ü to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
10381	2003	4	Aiyo cos i sms ü then ü neva reply so i wait 4 ü to reply lar. I tot ü havent finish ur lab wat.
10382	2003	4	Auntie huai juan never pick up her phone
10383	2003	4	I not free today i haf 2 pick my parents up tonite...
10384	2003	4	Ok..
10385	2003	4	Dunno lei... I might b eatin wif my frens... If ü wan to eat then i wait 4 ü lar
10386	2003	4	How come?
10387	2003	4	Then ü ask dad to pick ü up lar... Ü wan 2 stay until 6 meh...
10388	2003	4	Oh ok wait 4 me there... My lect havent finish
10389	2003	4	m done...
10390	2003	4	In da car park
10391	2003	4	s sdryb8i
10392	2003	4	Ü thk of wat to eat tonight.
10393	2003	4	Aiyo please ü got time meh.
10394	2003	4	m free...
10395	2003	4	Ok.
10396	2003	4	Anything lor. Juz both of us lor.
10397	2003	4	Ok c ü then.
10398	2003	4	ll be late...
10399	2003	4	Kent vale lor... Ü wait 4 me there ar?
10400	2003	4	Ard 530 lor. I ok then message ü lor.
10401	2003	4	m done. C ü there.
10402	2003	4	staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323
10403	2003	4	Dunno lei shd b driving lor cos i go sch 1 hr oni.
10404	2003	4	Ü wait 4 me in sch i finish ard 5..
10405	2003	4	Ok can...
10406	2003	4	Ü dun wan to watch infernal affair?
10407	2003	4	Cos darren say ü considering mah so i ask ü...
10408	2003	4	s confirmed... I tot they juz say oni... Ok then...
10409	2003	4	Me n him so funny...
10410	2003	4	Anything lor is she coming?
10411	2003	4	m in town now lei.
10412	2003	4	With my sis lor... We juz watched italian job.
10413	2003	4	C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.
10414	2003	4	Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...
10415	2003	4	s ok.
10416	2003	4	Can ü all decide faster cos my sis going home liao..
10417	2003	4	Yup ü not comin :-(
10418	2003	4	He neva grumble but i sad lor... Hee... Buy tmr lor aft lunch. But we still meetin 4 lunch tmr a not. Neva hear fr them lei. Ü got a lot of work ar?
10419	2003	4	I jokin oni lar.. Ü busy then i wun disturb ü.
10420	2003	4	Ok lor...
10421	2003	4	m in a movie. Call me 4 wat?
10422	2003	4	s meeting?
10423	2003	4	Do ü noe if ben is going?
10424	2003	4	Dunno lei ü all decide lor. How abt leona? Oops i tot ben is going n i msg him.
10425	2003	4	s ok..
10426	2003	4	s da decision?
10427	2003	4	Then ü wait 4 me at bus stop aft ur lect lar. If i dun c ü then i go get my car then come back n pick ü.
10428	2003	4	Ok i juz receive..
10429	2003	4	I borrow ur bag ok.
10430	2003	4	Can. Dunno wat to get 4 her...
10431	2003	4	Ok. But i finish at 6.
10432	2003	4	ll b going out shopping 4 my frens present.
10433	2003	4	Or i go home first lar ü wait 4 me lor.. I put down my stuff first..
10434	2003	4	ll finish buying?
10435	2003	4	Ok... But bag again..
10436	2003	4	s yijue@hotmail.com
10437	2003	4	ll be in da lab doing some stuff give me a call when ü r done.
10438	2003	4	Anything lar then ü not going home 4 dinner?
10439	2003	4	When can ü come out?
10440	2003	4	I havent lei.. Next mon can?
10441	2003	4	That day ü say ü cut ur hair at paragon, is it called hair sense? Do ü noe how much is a hair cut?
10442	2003	4	s da one ü cut ur hair.
10443	2003	4	s at paragon... I havent decided whether 2 cut yet... Hee...
10444	2003	4	Ok lor but not too early. Me still having project meeting now.
10445	2003	4	Ard 6 like dat lor.
10446	2003	4	I not busy juz dun wan 2 go so early.. Hee..
10447	2003	4	m not driving today.
10448	2003	4	Doing project w frens lor.
10449	2003	4	m not coming home 4 dinner.
10450	2003	4	Ard 530 like dat lor. We juz meet in mrt station then ü dun haf to come out.
10451	2003	4	Ok lor ü reaching then message me.
10452	2003	4	Happy birthday... May all ur dreams come true...
10453	2003	4	s a card on da present lei... How? Ü all want 2 write smth or sign on it?
10454	2003	4	Ü give me some time to walk there.
10455	2003	4	Ü all write or wat..
10456	2003	4	Then ü come n pick me at 530 ar?
10457	2003	4	Thanx 4 sending me home...
10458	2003	4	Is ur lecture over?
10459	2003	4	Sorry me going home first... Daddy come fetch ü later...
10460	2003	4	Okie.. Thanx..
10461	2003	4	Will ü b going to esplanade fr home?
10462	2003	4	We confirm eating at esplanade?
10463	2003	4	7 at esplanade.. Do ü mind giving me a lift cos i got no car today..
10464	2003	4	Ü got wat to buy tell us then ü no need to come in again.
10465	2003	4	s da model num of ur phone?
10466	2003	4	Hmm thinking lor...
10467	2003	4	Ok lor... Sony ericsson salesman... I ask shuhui then she say quite gd 2 use so i considering...
10468	2003	4	Ü say until like dat i dun buy ericsson oso cannot oredi lar...
10469	2003	4	Jokin only lar... :-) depends on which phone my father can get lor...
10470	2003	4	No need to buy lunch for me.. I eat maggi mee..
10471	2003	4	I know she called me
10472	2003	4	s da rest of da project going?
10473	2003	4	m doing da intro covers energy trends n pros n cons... Brief description of nuclear fusion n oso brief history of iter n jet got abt 7 n half pages..
10474	2003	4	Yup i shd haf ard 10 pages if i add figures... Ü all got how many pages?
10475	2003	4	s y we haf to combine n c how lor...
10476	2003	4	ll b doing da contents pg n cover pg..
10477	2003	4	m going out 4 dinner soon..
10478	2003	4	s ur email?
10479	2003	4	ve sent ü my part..
10480	2003	4	I emailed yifeng my part oredi.. Can ü get it fr him..
10481	2003	4	No need to ke qi... Ü too bored izzit y suddenly thk of this...
10482	2003	4	TaKe CaRE n gET WeLL sOOn
10483	2003	4	Ü no home work to do meh...
10484	2003	4	Huh so late... Fr dinner?
10485	2003	4	m elaborating on the safety aspects and some other issues..
10486	2003	4	Oic... Then better quickly go bathe n settle down...
10487	2003	4	m hungry buy smth home...
10488	2003	4	But i juz remembered i gotta bathe my dog today..
10489	2003	4	Ok lor thanx... Ü in school?
10490	2003	4	Ok thanx... Take care then...
10491	2003	4	Oops i thk i dun haf enuff... I go check then tell ü..
10492	2003	4	Ü only send me the contents page...
10493	2003	4	Wat time ü finish?
10494	2003	4	But i haf enuff space got like 4 mb...
10495	2003	4	Where r e meeting tmr?
10496	2003	4	Oh ok no prob..
10497	2003	4	Huh i cant thk of more oredi how many pages do we have?
10498	2003	4	Can ü send me a copy of da report?
10499	2003	4	I thk 50 shd be ok he said plus minus 10.. Did ü leave a line in between paragraphs?
10500	2003	4	How abt making some of the pics bigger?
10501	2003	4	ll come online now..
10502	2003	4	How r ü going to send it to me?
10503	2003	4	s clearer..
10504	2003	4	I havent add ü yet right..
10505	2003	4	They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..
10506	2003	4	ve finished the formatting...
10507	2003	4	Can i meet ü at 5.. As 4 where depends on where ü wan 2 in lor..
10508	2003	4	Ok.. Ü finishing soon?
10509	2003	4	ll be submitting da project tmr rite?
10510	2003	4	Ok lor... But buy wat?
10511	2003	4	Or ü go buy wif him then i meet ü later can?
10512	2003	4	Huh so early.. Then ü having dinner outside izzit?
10513	2003	4	Must come later.. I normally bathe him in da afternoon mah..
10514	2003	4	ll go.
10515	2003	4	ll b going 2 sch on fri quite early lor cos mys sis got paper in da morn :-)
10516	2003	4	Yar but they say got some error.
10517	2003	4	If u dun drive then how i go 2 sch.
10518	2003	4	Yup
10519	2003	4	Anything...
10520	2003	4	Then u drive lor.
10521	2003	4	Ok
10522	2003	4	Wat time liao, where still got.
10523	2003	4	Gd luck 4 ur exams :-)
10524	2003	4	Is ur paper today in e morn or aft?
10525	2003	4	ll b going 2 sch later.
10526	2003	4	Oh ok..
10527	2003	4	In sch but neva mind u eat 1st lor..
10528	2003	4	Call me when u finish then i come n pick u.
10529	2003	4	Hui xin is in da lib.
10530	2003	4	Okie...
10531	2003	4	m in da canteen now.
10532	2003	4	Haf u found him? I feel so stupid da v cam was working.
10533	2003	4	Where r we meeting?
10534	2003	4	I went to ur hon lab but no one is there.
10535	2003	4	ve reached sch already...
10536	2003	4	Can u look 4 me in da lib i got stuff havent finish yet.
10537	2003	4	ve already made changes 2 da previous report.
10538	2003	4	s over.. Dun thk abt it already. Concentrate on ur other papers k.
10539	2003	4	Din i tell u jus now 420
10540	2003	4	I fetch yun or u fetch?
10541	2003	4	All e best 4 ur exam later.
10542	2003	4	s v nice...
10543	2003	4	m coming home now.
10544	2003	4	Who u talking about?
10545	2003	4	Sorry sent blank msg again. Yup but trying 2 do some serious studying now.
10546	2003	4	m in e lazy mode today.
10547	2003	4	ve reached already.
10548	2003	4	Yup no more already... Thanx 4 printing n handing it up.
10549	2003	4	Ok
10550	2003	4	ve sent u da latest version of da project.
10551	2003	4	Mine here like all fr china then so noisy.
10552	2003	4	Here got lots of hair dresser fr china.
10553	2003	4	All e best 4 ur driving tmr :-)
10554	2003	4	s cutting quite short 4 me leh.
10555	2003	4	Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
10556	2003	4	Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.
10557	2003	4	Thanx...
10558	2003	4	Shant disturb u anymore... Jia you...
10559	2003	4	Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.
10560	2003	4	ll b going 2 sch on mon. My sis need 2 take smth.
10561	2003	4	m not going liao. Too lazy. Dun wan 2 distract u also.
10562	2003	4	s quite sad.
10563	2003	4	I might go 2 sch. Yar at e salon now v boring.
10564	2003	4	Is ur paper in e morn or aft tmr?
10565	2003	4	Nothing. Can...
10566	2003	4	Shb b ok lor... Thanx...
10567	2003	4	Really... I tot ur paper ended long ago... But wat u copied jus now got use? U happy lar... I still haf 2 study :-(
10568	2003	4	Really dun bluff me leh... U sleep early too. Nite...
10569	2003	4	Huh so slow i tot u reach long ago liao... U 2 more days only i 4 more leh...
10570	2003	4	Wif my family booking tour package.
10571	2003	4	s ur paper?
10572	2003	4	re rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.
10573	2003	4	My phone
10574	2003	4	Aiyar hard 2 type. U later free then tell me then i call n scold n tell u.
10575	2003	4	ll go out w u all lor. N u still can act so real.
10576	2003	4	s bad dat all e gals know u... Wat u doing now?
10577	2003	4	U horrible gal... U knew dat i was going out wif him yest n u still come n ask me...
10578	2003	4	Aiyar sorry lor forgot 2 tell u...
10579	2003	4	m meeting Darren...
10580	2003	4	U coming 2 pick me?
10581	2003	4	Can do lor...
10582	2003	4	s ok lar. U sleep early too... Nite...
10583	2003	4	Nvm take ur time.
10584	2003	4	Okie
10585	2003	4	s ok. Going 2 rain leh where got gd.
10586	2003	4	Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting.
10587	2003	4	Dunno he jus say go lido. Same time 930.
10588	2003	4	U know we watchin at lido?
10589	2003	4	Wat time do u wan 2 meet me later?
10590	2003	4	Now got tv 2 watch meh? U no work today?
10591	2003	4	Then we wait 4 u lor... No need 2 feel bad lar...
10592	2003	4	Doing nothing, then u not having dinner w us?
10593	2003	4	Ok...
10594	2003	4	Ok i also wan 2 watch e 9 pm show...
10595	2003	4	Sian... Aft meeting supervisor got work 2 do liao... U working now?
10596	2003	4	Quite late lar... Ard 12 anyway i wun b drivin...
10597	2003	4	Ok but tell me half an hr b4 u come i need 2 prepare.
10598	2003	4	Ok...
10599	2003	4	Then ur sis how?
10600	2003	4	Ard 515 like dat. Y?
10601	2003	4	s e road name of ur house?
10602	2003	4	Ok lor...
10603	2003	4	I wake up long ago already... Dunno, what other thing?
